id	#	motif
384	241	B275.4,L462,Q295
385	242	K815
387	243A	J551.1
388	243*	J953.7
389	244	J951.2,cf.J1062.1
394	244C*	J267.1
395	245	L451.1
397	246	J641.1
398	247	T681
399	248	cf.F91,N261,cf.L315.7
402	250	K11.2
403	250A	A2252.4,A2231.1.2
404	253	L331
407	275A	K11.3
408	275B	K11.2
409	275C	K11.1
412	276	J1063.1,U121.1
413	277	J643.1
414	277A	J955.1
415	278	J681.1
416	278A	J652.1,cf.J1064.1
417	278A*	J752.1
419	279*	J1053
420	280	A2251.1
421	280A	J711.1
422	281	J953.6,J953.10,L478,L315.6
424	282A*	J612.1
425	282B*	A2332.1.2
426	282C*	J2137.1
428	283	K815.2
432	283H*	L315.7
433	285	B391.1,B765.6
434	285A	B103.0.4.1,B335.1,J15,W185.6
435	285B	N652
437	285E	J552.3
439	285B*	B784.2.1.1,cf.B784.2.1
440	288B*	X1862
441	288B**	L148.1
443	289	A2275.5.3,cf.A2471.4,A2491.1
444	291	K22
445	292	J512.8
446	293	J461.1
454	295	F1025.1,A2741.1,A2793.1,Z41.4.1
455	296	J425.1
457	298	L351
461	298C*	J832
462	299	U114
