Northern Europe	293
Southern Europe	278
Eastern Europe	264
Western Europe	250
Western Asia	173
Southern Asia	156
Central Asia	147
Eastern Asia	145
Northern Africa	139
Northern America	123
Others	120
Eastern Africa	88
South-eastern Asia	84
Southern Africa	80
Central America	80
South America	77
Latin America and the Caribbean	75
Western Africa	45
Middle Africa	43
Australia and New Zealand	7
Polynesia	6
Melanesia	1
Micronesia	1
