Source	Target	Weight
cattle	chicken	3
*supernatural	bear	3
*bug	bear	3
wolf	wren	2
bear	wren	2
*vermin	wren	2
magpie	wolf	2
heron	wolf	2
fly	wolf	2
dove	wolf	2
deer	wolf	2
crocodile	wolf	2
bee	wolf	2
*vermin	wolf	2
*bug	wolf	2
tiger	turtle	2
pig	turtle	2
owl	turtle	2
heron	turtle	2
goat	turtle	2
frog	turtle	2
elephant	turtle	2
bear	turtle	2
*supernatural	turtle	2
*large animal	turtle	2
mouse	tiger	2
horse	tiger	2
goat	tiger	2
elephant	tiger	2
dog	tiger	2
deer	tiger	2
cat	tiger	2
bee	tiger	2
*bird	tiger	2
magpie	swallow	2
human	swallow	2
fox	swallow	2
dove	swallow	2
jackal	stork	2
heron	stork	2
fox	stork	2
mouse	sparrow	2
magpie	sparrow	2
duck	sparrow	2
rabbit	snake	2
mouse	snake	2
monkey	snake	2
lion	snake	2
horse	snake	2
frog	snake	2
crab	snake	2
sheep	sheep	2
mouse	sheep	2
*small animal	sheep	2
*bird	sheep	2
camel	rabbit	2
*supernatural	rabbit	2
*large animal	rabbit	2
*big cat	rabbit	2
horse	pig	2
goat	pig	2
duck	pig	2
crab	pig	2
eagle	owl	2
*raptores	owl	2
elephant	mouse	2
*raptores	mouse	2
crab	monkey	2
*bird	monkey	2
jackal	magpie	2
hyena	lion	2
goat	lion	2
eagle	lion	2
coyote	lion	2
camel	lion	2
*vermin	lion	2
*supernatural	lion	2
*big cat	lion	2
frog	lark	2
fox	lark	2
dog	lark	2
heron	jackal	2
goat	jackal	2
elephant	jackal	2
deer	jackal	2
crane	jackal	2
crab	jackal	2
coyote	jackal	2
cattle	jackal	2
human	hyena	2
goose	hyena	2
elephant	hyena	2
dog	hyena	2
crocodile	hyena	2
coyote	hyena	2
chicken	hyena	2
cattle	hyena	2
eagle	human	2
deer	human	2
cattle	human	2
camel	human	2
goose	horse	2
goat	horse	2
camel	horse	2
cat	goose	2
*bird	goat	2
*big cat	goat	2
crayfish	frog	2
crab	frog	2
bee	frog	2
ant	frog	2
*vermin	frog	2
elephant	fox	2
crayfish	fox	2
*raptores	fox	2
bear	fly	2
*vermin	fly	2
*small animal	elephant	2
*large animal	elephant	2
cat	eagle	2
crayfish	duck	2
*large animal	duck	2
dog	dove	2
bee	dove	2
*raptores	dove	2
deer	donkey	2
*supernatural	donkey	2
*small animal	donkey	2
*fish	donkey	2
*big cat	donkey	2
crocodile	dog	2
camel	dog	2
*supernatural	dog	2
cat	deer	2
bee	crow	2
*raptores	crow	2
*big cat	crocodile	2
chicken	crayfish	2
*small animal	crane	2
*fish	chicken	2
*big cat	chicken	2
cattle	cattle	2
*supernatural	cat	2
bear	camel	2
ant	bee	2
*bug	bee	2
*bird	bee	2
ant	bear	2
*vermin	bear	2
*large animal	bear	2
*fish	bear	2
*supernatural	*supernatural	2
*fish	*small animal	2
*bird	*large animal	2
*big cat	*bird	2
tiger	wren	1
owl	wren	1
lion	wren	1
fox	wren	1
fly	wren	1
eagle	wren	1
bee	wren	1
*bug	wren	1
snake	wolf	1
owl	wolf	1
elephant	wolf	1
eagle	wolf	1
duck	wolf	1
ant	wolf	1
*raptores	wolf	1
*large animal	wolf	1
swallow	turtle	1
stork	turtle	1
snake	turtle	1
mouse	turtle	1
monkey	turtle	1
lion	turtle	1
lark	turtle	1
hyena	turtle	1
horse	turtle	1
goose	turtle	1
eagle	turtle	1
dog	turtle	1
crane	turtle	1
crab	turtle	1
cat	turtle	1
ant	turtle	1
*big cat	turtle	1
heron	tiger	1
eagle	tiger	1
crow	tiger	1
crocodile	tiger	1
crab	tiger	1
camel	tiger	1
*vermin	tiger	1
*supernatural	tiger	1
sparrow	swallow	1
snake	swallow	1
owl	swallow	1
mouse	swallow	1
jackal	swallow	1
dog	swallow	1
crab	swallow	1
chicken	swallow	1
cattle	swallow	1
*small animal	swallow	1
*fish	swallow	1
snake	stork	1
lion	stork	1
frog	stork	1
crow	stork	1
cat	stork	1
ant	stork	1
*supernatural	stork	1
rabbit	sparrow	1
lark	sparrow	1
jackal	sparrow	1
human	sparrow	1
horse	sparrow	1
heron	sparrow	1
goose	sparrow	1
eagle	sparrow	1
dove	sparrow	1
dog	sparrow	1
crow	sparrow	1
cattle	sparrow	1
cat	sparrow	1
*small animal	sparrow	1
jackal	snake	1
goat	snake	1
donkey	snake	1
deer	snake	1
