Northern Europe	1227
Southern Europe	992
Eastern Europe	863
Western Europe	699
Western Asia	453
Central Asia	369
Northern Africa	327
Eastern Asia	254
Southern Asia	253
Northern America	209
South America	167
Others	146
Central America	145
South-eastern Asia	133
Eastern Africa	122
Latin America and the Caribbean	115
Southern Africa	113
Middle Africa	59
Western Africa	56
Australia and New Zealand	7
Polynesia	6
Micronesia	1
Melanesia	1
